Time (seconds),Normal Model Healing (%),Crack Membrane Model Healing (%)
0.0,0.0,0.0
45454.545454545456,1.040553343830491e-09,1.144000361317002e-11
90909.09090909091,2.014731860416588e-08,2.1841309149513515e-10
136363.63636363635,1.9540789874903846e-07,2.191642274723472e-09
181818.18181818182,1.7848890629973622e-06,2.0870085302070287e-08
227272.7272727273,1.9690083583595502e-05,2.2490649972155979e-07
272727.2727272727,0.00021653377369602213,2.336110683287785e-06
318181.8181818182,0.001869138868044089,1.9489169265617625e-05
363636.36363636365,0.012334247905467907,0.00012672863615998786
409090.9090909091,0.040592694851589,0.0005918914668968927
454545.4545454546,0.07396713614314222,0.0021131183717213423
500000.0,0.1710404382841587,0.006193556271667716
545454.5454545454,0.43362869438930673,0.01610841620201614
590909.0909090909,0.9924608180149521,0.035393352916302974
636363.6363636364,2.1066285669529914,0.049140861228681144
681818.1818181819,4.192075308856974,0.06627530664393873
727272.7272727273,7.868096264695463,0.09543198478837234
772727.2727272727,13.874014211641693,0.14142380786625783
818181.8181818182,22.830370815552936,0.21039062650472923
863636.3636363636,30.63846512726754,0.3108876177313249
909090.9090909092,37.93242580467744,0.45114750367990764
954545.4545454546,46.25404589737686,0.639820598853543
1000000.0,58.01307861514714,0.8869008965241096
1045454.5454545455,74.73260268689369,1.207360087597776
1090909.0909090908,95.7530513591069,1.6093813330187505
1136363.6363636365,100.0,2.104903644677863
1181818.1818181819,100.0,2.708511017543413
1227272.7272727273,100.0,3.4361793468649195
1272727.2727272727,100.0,4.2976876684925935
1318181.8181818181,100.0,5.307299013179424
1363636.3636363638,100.0,6.486374726403861
1409090.9090909092,100.0,7.849009535261561
1454545.4545454546,100.0,9.40975683990462
1500000.0,100.0,11.176222709731128
1545454.5454545454,100.0,12.161104500308074
1590909.090909091,100.0,12.336926394593602
1636363.6363636365,100.0,12.524236238113167
1681818.1818181819,100.0,12.732361296318647
1727272.7272727273,100.0,12.962428685485005
1772727.2727272727,100.0,13.214400459319723
1818181.8181818184,100.0,13.488959159629045
1863636.3636363638,100.0,13.78762318696372
1909090.9090909092,100.0,14.110661070874512
1954545.4545454546,100.0,14.458276415098686
2000000.0,100.0,14.831066522307628
2045454.5454545454,100.0,15.231014360716513
2090909.090909091,100.0,15.657317845232953
2136363.6363636362,100.0,16.110508294045307
2181818.1818181816,100.0,16.591596831190465
2227272.7272727275,100.0,17.101608609615557
2272727.272727273,100.0,17.640041594231405
2318181.8181818184,100.0,18.207342986982734
2363636.3636363638,100.0,18.80496229965371
2409090.909090909,100.0,19.432922087785542
2454545.4545454546,100.0,20.091133374559615
2500000.0,100.0,20.78002246575955
2545454.5454545454,100.0,21.501697432613412
2590909.090909091,100.0,22.25492781835247
2636363.6363636362,100.0,23.04012739114608
2681818.181818182,100.0,23.858294371426663
2727272.7272727275,100.0,24.710453584403467
2772727.272727273,100.0,25.595860639580156
2818181.8181818184,100.0,26.514931635697778
2863636.3636363638,100.0,27.46931817628712
2909090.909090909,100.0,28.45886256085922
2954545.4545454546,100.0,29.483385391330785
3000000.0,100.0,30.54332275955013
3045454.5454545454,100.0,31.641061738318953
3090909.090909091,100.0,32.775153853099724
3136363.6363636362,100.0,33.94605992674067
3181818.181818182,100.0,35.15492466790254
3227272.7272727275,100.0,36.402934504611274
3272727.272727273,100.0,37.68924839580585
3318181.8181818184,100.0,39.014370142537054
3363636.3636363638,100.0,40.38023843514443
3409090.909090909,100.0,41.786713645461546
3454545.4545454546,100.0,43.23363586221388
3500000.0,100.0,44.72156171672037
3545454.5454545454,100.0,46.25331890001853
3590909.090909091,100.0,47.82729370138451
3636363.6363636367,100.0,49.44408844468454
3681818.181818182,100.0,51.105108138531484
3727272.7272727275,100.0,52.811815688062744
3772727.272727273,100.0,54.56330966364959
3818181.8181818184,100.0,56.46094784712901
3863636.3636363638,100.0,58.45893651507706
3909090.909090909,100.0,60.51415813547275
3954545.4545454546,100.0,62.621167081101504
4000000.0,100.0,64.69467566414534
4045454.5454545454,100.0,67.10494465917992
4090909.090909091,100.0,71.3946268514071
4136363.6363636367,100.0,81.0961501006964
4181818.181818182,100.0,94.04603597983201
4227272.7272727275,100.0,99.53435662048544
4272727.2727272725,100.0,99.89049951642711
4318181.818181818,100.0,100.0
4363636.363636363,100.0,100.0
4409090.909090909,100.0,100.0
4454545.454545455,100.0,100.0
4500000.0,100.0,100.0
