Time (seconds),Healing Percentage (%)
0.0,0.0
35000.0,17.8247247614705
70000.0,20.519896612831754
105000.0,22.78883534074836
140000.0,24.202255633029495
175000.0,26.173222855724703
210000.0,27.464982144046424
245000.0,29.230822715000404
280000.0,30.678299087650533
315000.0,32.28532702799738
350000.0,33.81963096831758
385000.0,35.217938813382894
420000.0,36.85175307766847
455000.0,38.066744244005754
490000.0,39.52565436207423
525000.0,40.862540856739514
560000.0,42.13241490095561
595000.0,43.533710556031906
630000.0,44.67598685801426
665000.0,45.9324357751188
700000.0,47.23568842275685
735000.0,48.275697020681314
770000.0,49.471245624617914
805000.0,50.69036581675817
840000.0,51.68432544815812
875000.0,52.80788090672838
910000.0,53.95576395279856
945000.0,54.93165243450206
980000.0,55.98987613549609
1015000.0,57.04764610231465
1050000.0,58.050627282851366
1085000.0,59.002713591636855
1120000.0,59.99997273647423
1155000.0,61.02963199321187
1190000.0,61.92377911819459
1225000.0,62.871102755516986
1260000.0,63.82574254598525
1295000.0,64.78081449463717
1330000.0,65.62187282023288
1365000.0,66.5276333002584
1400000.0,67.44876396616391
1435000.0,68.3390824389653
1470000.0,69.16474707180757
1505000.0,70.01918300334276
1540000.0,70.90256870579921
1575000.0,71.76024678948141
1610000.0,72.55641354302789
1645000.0,73.36714040456191
1680000.0,74.21252217956001
1715000.0,75.05303671548155
1750000.0,75.79979535144106
1785000.0,76.57503830399955
1820000.0,77.37957292895007
1855000.0,78.16425139180696
1890000.0,78.92215710885026
1925000.0,79.67692899654
1960000.0,80.42137297680225
1995000.0,81.17736921619134
2030000.0,81.96235022542787
2065000.0,82.66598609783061
2100000.0,83.38230620953473
2135000.0,84.1149557670166
2170000.0,84.84004817831315
2205000.0,85.56936926866491
2240000.0,86.26306638280876
2275000.0,86.92696454540607
2310000.0,87.60691717436718
2345000.0,88.300482036129
2380000.0,88.95698980474482
2415000.0,89.5780658498222
2450000.0,90.18872950255886
2485000.0,90.7922003928576
2520000.0,91.44206245337048
2555000.0,92.06035413306257
2590000.0,92.62511721874192
2625000.0,93.20439102019228
2660000.0,93.78283576500031
2695000.0,94.41918397474247
2730000.0,94.97532757920906
2765000.0,95.4982960763782
2800000.0,96.00158298967031
2835000.0,96.55349548388294
2870000.0,97.10186715442684
2905000.0,97.5072953426825
2940000.0,97.9160328219603
2975000.0,98.33319258948248
3010000.0,98.6882484337079
3045000.0,98.95644500053689
3080000.0,99.18314579558822
3115000.0,99.39299430454935
3150000.0,99.59707900557494
3185000.0,99.72139680034205
3220000.0,99.85583573483352
3255000.0,99.95592654994513
3290000.0,99.99230765087265
3325000.0,100.0
3360000.0,100.0
3395000.0,100.0
3430000.0,100.0
3465000.0,100.0
3500000.0,100.0
