Time (seconds),β = 0 (%),β = π/8 (%),β = π/4 (%),β = π/2 (%)
0.0,0.0,0.0,0.0,0.0
35000.0,1.632417650673392e-07,0.001630727265540397,17.8247247614705,25.227534518328078
70000.0,3.3380993529581286e-06,0.016462845285646274,20.519896612831754,29.06296251509118
105000.0,3.4455929043075883e-05,0.04700494764264447,22.78883534074836,31.705337114599658
140000.0,0.00023769678881161826,0.15247181531825338,24.202255633029495,33.70923863955312
175000.0,0.0012283485832309412,0.40277412481752023,26.173222855724703,35.47528801194005
210000.0,0.005065807325196658,0.8594897206177109,27.464982144046424,36.97792125813107
245000.0,0.011428966459480916,1.6054931897840772,29.230822715000404,38.38003497387162
280000.0,0.0186561560614128,2.8820798336230484,30.678299087650533,39.76601091037907
315000.0,0.037073333312939924,4.933571563928175,32.28532702799738,40.95981321011044
350000.0,0.08069765203762409,7.814751487340931,33.81963096831758,42.202211496462546
385000.0,0.1750709502785871,11.059681370109073,35.217938813382894,43.455746498565844
420000.0,0.3637969124708491,14.96327982650604,36.85175307766847,44.495903187906556
455000.0,0.7160995224603393,18.170771396877342,38.066744244005754,45.631030456986764
490000.0,1.3270715584618162,21.556792884767994,39.52565436207423,46.853143982673565
525000.0,1.9686920284067104,24.86102263759043,40.862540856739514,47.80667211969645
560000.0,2.597587012448488,27.727432191884372,42.13241490095561,48.86161510979013
595000.0,3.58709542156232,30.882283126367895,43.533710556031906,50.080060029321594
630000.0,5.099483720435515,33.732543131117694,44.67598685801426,50.988149244110424
665000.0,7.340585210366476,36.517588045841485,45.9324357751188,51.959937348000295
700000.0,10.310783184701851,39.44692145948942,47.23568842275685,53.101168653018604
735000.0,14.15884275127042,42.110767760393394,48.275697020681314,54.074926269260146
770000.0,19.455955194622103,44.75749929975429,49.471245624617914,54.97076170171249
805000.0,26.629657201890538,47.54709267653908,50.69036581675817,56.014224088079786
840000.0,36.216308134318005,50.0365724110601,51.68432544815812,57.092321138609236
875000.0,47.89810617873171,52.420765779068056,52.80788090672838,57.91401347259901
