Crack Width (sigma),Time to heal 95% (seconds)
0.005,1082100.0
0.006,1082100.0
0.007,1082100.0
0.008,1082100.0
0.009000000000000001,1082100.0
0.01,1082100.0
0.011,1082100.0
0.012,1082000.0
0.013000000000000001,1082000.0
0.014000000000000002,1082000.0
0.015,1081800.0
0.016,1081700.0
0.017,1081400.0
0.018000000000000002,1081100.0
0.019,1080700.0
0.02,1080200.0
0.021,1079600.0
0.022000000000000002,1078900.0
0.023000000000000003,1078200.0
0.024,1077400.0
0.025,1076500.0
