Time (seconds),Healing Percentage (%)
0.0,0.0
12500.0,4.111673376428614e-13
25000.0,3.1811367701842434e-12
37500.0,1.3373758666488858e-11
50000.0,4.752228807703809e-11
62500.0,1.356419406497608e-10
75000.0,3.585162780383834e-10
87500.0,8.797682602385729e-10
100000.0,2.0067346519452728e-09
112500.0,4.1414505478284335e-09
125000.0,8.476647473231422e-09
137500.0,1.6791879305858734e-08
150000.0,3.1905460101004074e-08
162500.0,5.801008484099789e-08
175000.0,1.0144084674115186e-07
187500.0,1.7253700295460575e-07
200000.0,2.881973795757778e-07
212500.0,4.6757713756536707e-07
225000.0,7.421012771701487e-07
237500.0,1.1804445468714256e-06
250000.0,1.9166417423980432e-06
262500.0,3.1546199610084556e-06
275000.0,5.160158678651229e-06
287500.0,8.177602698594336e-06
300000.0,1.237860644228194e-05
312500.0,1.7837995786487643e-05
325000.0,2.4761515188102278e-05
337500.0,3.416589716217203e-05
350000.0,5.0104803572019045e-05
362500.0,8.309316106291971e-05
375000.0,0.00015596841155555616
387500.0,0.0003137208001971929
400000.0,0.0006352868446101105
412500.0,0.0012493288035272257
425000.0,0.002355770789129202
437500.0,0.004251815276070422
450000.0,0.0073620778826194245
462500.0,0.012274656191830872
475000.0,0.019785498843988523
487500.0,0.030947748716177153
500000.0,0.047122570514904864
512500.0,0.07003698058298022
525000.0,0.10184593707590155
537500.0,0.1451983527512543
550000.0,0.20330651585057136
562500.0,0.2800183549216203
575000.0,0.37989198220261483
587500.0,0.5082719629685362
600000.0,0.671366796948668
612500.0,0.8763271749679684
625000.0,1.1313246698192148
637500.0,1.4456306447334084
650000.0,1.8276773248548195
662500.0,2.271968272019353
675000.0,2.636888784516399
687500.0,2.9878893858714153
700000.0,3.387300536428281
712500.0,3.8332757008081106
725000.0,4.172322129125915
737500.0,4.519860435177709
750000.0,4.91203015693159
762500.0,5.366206162174583
775000.0,5.889824408442078
787500.0,6.490953133194186
800000.0,7.178334655631706
812500.0,7.961431986285278
825000.0,8.850481031395889
837500.0,9.856549230604452
850000.0,10.991601503758618
862500.0,12.268574399545253
875000.0,13.701459327796409
887500.0,15.305395708172792
900000.0,17.096774766257038
912500.0,19.093354535417436
925000.0,21.314386356466578
937500.0,23.780752781187086
950000.0,26.515116254163924
962500.0,29.542077251093566
975000.0,32.888339693373524
987500.0,36.58288048861693
1000000.0,40.65711910717849
1012500.0,45.145082499470675
1025000.0,50.083560949949955
1037500.0,55.51225258813886
1050000.0,61.47389964264325
1062500.0,68.01442999023752
1075000.0,75.18313512337572
1087500.0,83.03294166149529
1100000.0,91.39580468062213
1112500.0,98.7529767766656
1125000.0,99.88252738725235
1137500.0,100.0
1150000.0,100.0
1162500.0,100.0
1175000.0,100.0
1187500.0,100.0
1200000.0,100.0
1212500.0,100.0
1225000.0,100.0
1237500.0,100.0
1250000.0,100.0
