Time (seconds),Healing Percentage (%)
0.0,0.0
12500.0,5.648307823854554e-12
25000.0,3.585583253927559e-11
37500.0,1.4641911773218546e-10
50000.0,4.6036829376471995e-10
62500.0,1.2657046474123136e-09
75000.0,3.2189581463664806e-09
87500.0,7.431019873873002e-09
100000.0,1.55353742113665e-08
112500.0,3.2180765734602714e-08
125000.0,6.395569587114338e-08
137500.0,1.2001086018132093e-07
150000.0,2.1581783196298877e-07
162500.0,3.7527396189340373e-07
175000.0,6.369968397856814e-07
187500.0,1.0505682479012342e-06
200000.0,1.682199678949123e-06
212500.0,2.6900794830053313e-06
225000.0,4.397524897895584e-06
237500.0,7.34171680372602e-06
250000.0,1.2143216104240377e-05
262500.0,1.936770836427581e-05
275000.0,2.9264834684480187e-05
287500.0,4.1787218213453476e-05
300000.0,5.752459736680891e-05
312500.0,7.987235439003499e-05
325000.0,0.00011978736043227467
337500.0,0.0002067388745929374
350000.0,0.00040159292960551636
362500.0,0.0008200181680942737
375000.0,0.001658937369673724
387500.0,0.0032300869505390937
400000.0,0.006005477302267929
412500.0,0.010665235079762341
425000.0,0.018156389647918676
437500.0,0.0297592559667452
450000.0,0.04716402562334403
462500.0,0.07199190183871441
475000.0,0.1067169241542575
487500.0,0.1531891096574094
500000.0,0.17374792055084715
512500.0,0.19565810269267297
525000.0,0.22403098252510176
537500.0,0.2617261246630194
550000.0,0.311018669710139
562500.0,0.37579690779238867
575000.0,0.4598030179826026
587500.0,0.5674198666475374
600000.0,0.7037344526473891
612500.0,0.8746022226516055
625000.0,1.0867119868977517
637500.0,1.347569417284932
650000.0,1.6634171096151982
662500.0,2.0272388200067426
675000.0,2.449075058271304
687500.0,2.9483198331798124
700000.0,3.538201824724716
712500.0,4.231578062535087
725000.0,5.042102985211935
737500.0,5.984670787436733
750000.0,7.075491087722381
762500.0,8.332172629337101
775000.0,9.773816799400072
787500.0,11.42112296428371
800000.0,13.296507858881013
812500.0,15.42424155461071
825000.0,17.830602898340175
837500.0,20.544057808864608
850000.0,23.595464506669053
862500.0,26.99700254823356
875000.0,30.55685309029428
887500.0,33.05066502496815
900000.0,35.56831412194364
912500.0,38.33412114504352
925000.0,41.40024922039014
937500.0,44.617357726756424
950000.0,47.056478841649316
962500.0,49.30915731757661
975000.0,51.743128788282824
987500.0,54.42799008093008
1000000.0,57.38646649893012
1012500.0,60.64317693475082
1025000.0,64.22473575640609
1037500.0,68.1598514699975
1050000.0,72.47942225480266
1062500.0,77.21663748752982
1075000.0,82.40710781516815
1087500.0,88.0890655152945
1100000.0,94.11183689497436
1112500.0,99.18606665861647
1125000.0,99.93361111080317
1137500.0,100.0
1150000.0,100.0
1162500.0,100.0
1175000.0,100.0
1187500.0,100.0
1200000.0,100.0
1212500.0,100.0
1225000.0,100.0
1237500.0,100.0
1250000.0,100.0
