Sigma,Gamma,Beta,Healing_Time,Final_Healing_Percentage
0.005,0.015,1.5707963267948966,2853300.0,95.00423670917893
0.005,0.02,0.0,1084500.0,95.0614015576334
0.005,0.02,0.15707963267948966,1261800.0,95.02257546818512
0.005,0.02,0.3141592653589793,1521900.0,95.00818580574553
0.005,0.02,0.47123889803846897,1789800.0,95.00597974482253
0.005,0.02,0.6283185307179586,2371200.0,95.0006276705465
0.005,0.02,0.7853981633974483,2944200.0,95.00028622417062
0.005,0.02,0.9424777960769379,2972400.0,95.0050957111252
0.005,0.02,1.0995574287564276,2731200.0,95.00406368902512
0.005,0.02,1.2566370614359172,2789100.0,95.00301447657938
0.005,0.02,1.413716694115407,2825700.0,95.01083897052793
0.005,0.02,1.5707963267948966,2850300.0,95.00162086959972
0.005,0.025,0.0,1083900.0,95.15308076500014
0.005,0.025,0.15707963267948966,1261200.0,95.00349843462747
0.005,0.025,0.3141592653589793,1521600.0,95.00974366121623
0.005,0.025,0.47123889803846897,1789500.0,95.00878006104226
0.005,0.025,0.6283185307179586,2370600.0,95.00132918026611
0.005,0.025,0.7853981633974483,2941800.0,95.00112777703458
0.005,0.025,0.9424777960769379,2971500.0,95.00247984733309
0.005,0.025,1.0995574287564276,2730600.0,95.00232719583833
0.005,0.025,1.2566370614359172,2788500.0,95.00069456406493
0.005,0.025,1.413716694115407,2824800.0,95.00581378124498
0.005,0.025,1.5707963267948966,2848500.0,95.00432049038274
0.005,0.030000000000000002,0.0,1083300.0,95.11921786661895
0.005,0.030000000000000002,0.15707963267948966,1260900.0,95.00060402510452
0.005,0.030000000000000002,0.3141592653589793,1521300.0,95.00656666818314
0.005,0.030000000000000002,0.47123889803846897,1789200.0,95.00818496239579
0.005,0.030000000000000002,0.6283185307179586,2370300.0,95.0050254532627
0.005,0.030000000000000002,0.7853981633974483,2940000.0,95.00180999121375
0.005,0.030000000000000002,0.9424777960769379,2970900.0,95.00162428226541
0.005,0.030000000000000002,1.0995574287564276,2730300.0,95.00389116615725
0.005,0.030000000000000002,1.2566370614359172,2788200.0,95.00287878935725
0.005,0.030000000000000002,1.413716694115407,2824200.0,95.00382853896735
0.005,0.030000000000000002,1.5707963267948966,2847000.0,95.00245558247421
0.005,0.034999999999999996,0.0,1082700.0,95.00681879598048
0.005,0.034999999999999996,0.15707963267948966,1260900.0,95.01727309358178
0.005,0.034999999999999996,0.3141592653589793,1521000.0,95.00043909350192
0.005,0.034999999999999996,0.47123889803846897,1788900.0,95.0054655817284
0.005,0.034999999999999996,0.6283185307179586,2370000.0,95.00627924499366
0.005,0.034999999999999996,0.7853981633974483,2938500.0,95.00106768688478
0.005,0.034999999999999996,0.9424777960769379,2970600.0,95.00399336682047
0.005,0.034999999999999996,1.0995574287564276,2730000.0,95.00368667686618
0.005,0.034999999999999996,1.2566370614359172,2787900.0,95.00257060329108
0.005,0.034999999999999996,1.413716694115407,2823900.0,95.00825229931131
0.005,0.034999999999999996,1.5707963267948966,2846100.0,95.00598212068353
0.005,0.04,0.0,1082400.0,95.02859403728024
0.005,0.04,0.15707963267948966,1260600.0,95.0054399853356
0.005,0.04,0.3141592653589793,1521000.0,95.00818995078632
0.005,0.04,0.47123889803846897,1788600.0,95.00131752977452
0.005,0.04,0.6283185307179586,2369700.0,95.00589262962481
0.005,0.04,0.7853981633974483,2937300.0,95.00069833342447
0.005,0.04,0.9424777960769379,2970300.0,95.00474197106612
0.005,0.04,1.0995574287564276,2729700.0,95.00229209010443
0.005,0.04,1.2566370614359172,2787600.0,95.0005888788128
0.005,0.04,1.413716694115407,2823600.0,95.00919462993028
0.005,0.04,1.5707963267948966,2845200.0,95.0050571897245
0.005,0.045,0.0,1082100.0,95.01225886184294
0.005,0.045,0.15707963267948966,1260600.0,95.01605691936683
0.005,0.045,0.3141592653589793,1521000.0,95.0145334664172
0.005,0.045,0.47123889803846897,1788600.0,95.00600555100989
0.005,0.045,0.6283185307179586,2369400.0,95.00434331849067
0.005,0.045,0.7853981633974483,2936400.0,95.00180698027194
0.005,0.045,0.9424777960769379,2970000.0,95.00434328087414
0.005,0.045,1.0995574287564276,2729400.0,95.00005334085063
0.005,0.045,1.2566370614359172,2787600.0,95.00590382690444
0.005,0.045,1.413716694115407,2823300.0,95.00771101077514
0.005,0.045,1.5707963267948966,2844300.0,95.00098767878468
0.005,0.049999999999999996,0.0,1082100.0,95.15438119979913
0.005,0.049999999999999996,0.15707963267948966,1260600.0,95.02485974396694
0.005,0.049999999999999996,0.3141592653589793,1520700.0,95.00397293529716
0.005,0.049999999999999996,0.47123889803846897,1788300.0,95.0000898928237
0.005,0.049999999999999996,0.6283185307179586,2369100.0,95.00193567256298
0.005,0.049999999999999996,0.7853981633974483,2935500.0,95.00070620646088
0.005,0.049999999999999996,0.9424777960769379,2969700.0,95.00309837005109
0.005,0.049999999999999996,1.0995574287564276,2729400.0,95.00330608056629
0.005,0.049999999999999996,1.2566370614359172,2787300.0,95.0018608727076
0.005,0.049999999999999996,1.413716694115407,2823000.0,95.00446357510477
0.005,0.049999999999999996,1.5707963267948966,2843700.0,95.00058704265314
0.01,0.005,0.0,1091700.0,95.16692883698222
0.01,0.005,0.15707963267948966,1264500.0,95.01124987094683
0.01,0.005,0.3141592653589793,1562100.0,95.00650183798057
0.01,0.005,0.47123889803846897,1876800.0,95.00875633076613
0.01,0.005,0.6283185307179586,2375700.0,95.00286533162448
0.01,0.005,0.7853981633974483,2959500.0,95.0019932629345
0.01,0.005,0.9424777960769379,2954700.0,95.00168419200008
0.01,0.005,1.0995574287564276,2851800.0,95.00231782542681
0.01,0.005,1.2566370614359172,2874300.0,95.00037074446769
0.01,0.005,1.413716694115407,2842800.0,95.00402608505172
0.01,0.005,1.5707963267948966,2868900.0,95.00283079629429
0.01,0.01,0.0,1087500.0,95.10268088759327
0.01,0.01,0.15707963267948966,1260600.0,95.00013826727304
0.01,0.01,0.3141592653589793,1558500.0,95.00807910720457
0.01,0.01,0.47123889803846897,1872600.0,95.00153731358606
0.01,0.01,0.6283185307179586,2369400.0,95.00288977693249
0.01,0.01,0.7853981633974483,2948400.0,95.00306714775385
0.01,0.01,0.9424777960769379,2947200.0,95.00212933105647
0.01,0.01,1.0995574287564276,2846400.0,95.00573605785078
0.01,0.01,1.2566370614359172,2868600.0,95.0056464897722
0.01,0.01,1.413716694115407,2835000.0,95.00101744260908
0.01,0.01,1.5707963267948966,2858100.0,95.00331899185295
0.01,0.015,0.0,1085700.0,95.12647020442867
0.01,0.015,0.15707963267948966,1259100.0,95.0052392172862
0.01,0.015,0.3141592653589793,1557000.0,95.01480580542513
0.01,0.015,0.47123889803846897,1870800.0,95.00156474937566
0.01,0.015,0.6283185307179586,2366700.0,95.00378634007812
0.01,0.015,0.7853981633974483,2942700.0,95.0009841789919
0.01,0.015,0.9424777960769379,2943900.0,95.00215568537718
0.01,0.015,1.0995574287564276,2843700.0,95.00161036148586
0.01,0.015,1.2566370614359172,2865900.0,95.00427872799483
0.01,0.015,1.413716694115407,2832000.0,95.00745465879751
0.01,0.015,1.5707963267948966,2853300.0,95.00423670917893
0.01,0.02,0.0,1084500.0,95.0614015576334
0.01,0.02,0.15707963267948966,1258200.0,95.00640462002667
0.01,0.02,0.3141592653589793,1555800.0,95.00272884949612
0.01,0.02,0.47123889803846897,1869900.0,95.00758798307261
0.01,0.02,0.6283185307179586,2364900.0,95.00138653613517
0.01,0.02,0.7853981633974483,2939400.0,95.00391559716334
0.01,0.02,0.9424777960769379,2941800.0,95.00037725952039
0.01,0.02,1.0995574287564276,2842200.0,95.00147817509634
0.01,0.02,1.2566370614359172,2864400.0,95.00630970185999
0.01,0.02,1.413716694115407,2829900.0,95.00149697250696
0.01,0.02,1.5707963267948966,2850300.0,95.00162086959972
0.01,0.025,0.0,1083900.0,95.15308076500014
0.01,0.025,0.15707963267948966,1257600.0,95.00724671586354
0.01,0.025,0.3141592653589793,1555200.0,95.00570895491721
0.01,0.025,0.47123889803846897,1869000.0,95.00158242695568
0.01,0.025,0.6283185307179586,2364000.0,95.00414005563007
0.01,0.025,0.7853981633974483,2936700.0,95.00054354039669
0.01,0.025,0.9424777960769379,2940600.0,95.00158414458441
0.01,0.025,1.0995574287564276,2841300.0,95.00388566292388
0.01,0.025,1.2566370614359172,2863200.0,95.00271389193344
0.01,0.025,1.413716694115407,2828700.0,95.00252280577546
0.01,0.025,1.5707963267948966,2848500.0,95.00432049038274
0.01,0.030000000000000002,0.0,1083300.0,95.11921786661895
0.01,0.030000000000000002,0.15707963267948966,1257300.0,95.01601261466026
0.01,0.030000000000000002,0.3141592653589793,1554900.0,95.01512799915928
0.01,0.030000000000000002,0.47123889803846897,1868700.0,95.0096822066977
0.01,0.030000000000000002,0.6283185307179586,2363100.0,95.00279030006182
0.01,0.030000000000000002,0.7853981633974483,2934900.0,95.00131047451892
0.01,0.030000000000000002,0.9424777960769379,2939700.0,95.00219655553643
0.01,0.030000000000000002,1.0995574287564276,2840400.0,95.00045411022504
0.01,0.030000000000000002,1.2566370614359172,2862600.0,95.0074850656184
0.01,0.030000000000000002,1.413716694115407,2827800.0,95.00231176854493
0.01,0.030000000000000002,1.5707963267948966,2847000.0,95.00245558247421
0.01,0.034999999999999996,0.0,1082700.0,95.00681879598048
0.01,0.034999999999999996,0.15707963267948966,1256700.0,95.00024376085628
0.01,0.034999999999999996,0.3141592653589793,1554300.0,95.00310463910452
0.01,0.034999999999999996,0.47123889803846897,1868100.0,95.00309162459922
0.01,0.034999999999999996,0.6283185307179586,2362500.0,95.00304725243184
0.01,0.034999999999999996,0.7853981633974483,2933400.0,95.00066907996226
0.01,0.034999999999999996,0.9424777960769379,2938800.0,95.00035163685949
